,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
TSPAN6,15.91,35.76,52.63,20.65,7.43,38.87,50.29
TNMD,0,0,0,0,0,0,0
DPM1,194.76,78.79,122.24,106.9,164.5,75.33,103.7
SCYL3,4.98,3.11,1.71,5.83,4.73,1.84,7.76
C1orf112,27.76,16.21,6.22,10.32,8,10.83,12.84
FGR,0.02,0,0.01,0.01,0.02,0,0.17
CFH,0.46,12.22,0.04,14.2,0.03,1.84,13.58
FUCA2,22.96,60.02,95.04,40.27,98.92,51.03,71.13
GCLC,20.9,94.1,36.42,34.43,31.06,20.17,29.67
NFYA,21.08,12.49,16.46,19.52,21.62,19.2,74.61
STPG1,7.14,4.53,1.48,6.02,1.78,5.51,6.38
NIPAL3,42.87,4.36,3.82,20.49,5.54,21.92,14.03
LAS1L,56.03,69.04,21.1,56.26,37.33,48.81,38.69
ENPP4,0.86,0.75,0.06,3.94,3.82,3.82,12.93
SEMA3F,1.56,2.04,12.01,7.69,21.82,41.69,2.07
CFTR,0.01,0.01,0.01,38.24,0.01,0.01,0.03
ANKIB1,23.32,19.35,8,24.05,22.06,18.61,31.79
CYP51A1,23.26,54.28,64.99,54.36,58.28,40.18,68.25
KRIT1,32.99,27.87,14.07,23.94,25.8,17.62,37.57
RAD52,9.56,7.88,4.84,5.98,8.01,6.1,5.42
MYH16,0.41,0.87,0.05,0.42,0.12,6.17,8.69
BAD,56.8,52.47,18.52,51.53,60.22,106.43,102.98
LAP3,58.2,34.35,72.53,67.74,50.23,28.17,85.51
CD99,39.44,177.68,201.33,4.5,95.39,130.61,209.3
HS3ST1,0.45,0.2,0,6.38,0.01,0.53,3.34
AOC1,0.02,0.01,0.01,10.99,0.59,0.03,33.4
WNT16,0.19,0.03,0.01,0.08,0.03,0.03,0.23
HECW1,3.56,6.22,0.05,0,0,1.44,0.03
MAD1L1,21.97,11.45,19.02,13.73,18.78,12.21,21.96
LASP1,92.62,196.79,89.32,198.78,45.24,55.34,295.74
SNX11,14.91,22.96,9.2,17.09,30.19,12.1,19.37
TMEM176A,0.05,0.1,0.02,0.36,0,0,28.94
M6PR,150.32,125.79,48.75,55.99,62.85,54.08,65.59
KLHL13,2.23,0.7,0.28,0.05,1.18,2.17,0.3
CYP26B1,2.77,7.35,0.03,0.15,1.25,1.41,0.27
ICA1,6.17,0.46,0.1,43.04,25.27,3.57,28.52
DBNDD1,16.31,27.22,28.06,8.32,51.93,8.75,31.26
ALS2,10.2,12.49,10.11,8.2,12.01,8.01,10.23
CASP10,1.33,2.73,6.48,2.42,0.2,0.38,3.91
CFLAR,7.35,79.54,37.76,23.82,23.24,12.03,39.49
TFPI,1.17,38.79,296.64,80.59,138.48,13.43,27.73
NDUFAF7,21.9,21.99,13.48,15.3,9.78,7.75,12.24
RBM5,64.3,32.22,44.18,47.16,49.63,87.2,64.9
MTMR7,0.3,0.81,0.19,0.11,1.07,0.26,0.45
SLC7A2,3.15,1.5,20.54,1.33,137.53,1.26,0.89
ARF5,126.57,81.89,96.68,210.58,228.79,139.5,200.87
SARM1,9.71,1.45,0.52,3.98,6.06,1.86,4.27
POLDIP2,92.27,100.22,60.18,57.06,68.77,37.15,57.48
PLXND1,33.62,32.56,49.58,31.94,70.98,3.76,55.84
AK2,268.96,155.36,132.57,246.42,164.41,168.04,133.06
CD38,0,4.76,0,0.06,0.15,0.04,0.29
FKBP4,120.36,214.05,63.79,132.73,210.59,88.56,68.66
KDM1A,88.3,53.32,66.25,74.52,50.42,63.9,46.23
RBM6,58.52,20.72,42.33,34.04,34.99,55.32,41.53
CAMKK1,2.25,6.22,1.33,4.97,1.82,3.26,1.35
RECQL,60.39,77.07,15.16,21.41,18.82,21.33,32.94
VPS50,11.12,9.39,5.15,10.62,7.15,11.4,11.83
HSPB6,1.09,0.03,0.17,0.13,0.34,0.12,0.52
ARHGAP33,7.3,1.93,2.69,9.52,14.51,1.43,8.01
NDUFAB1,286.82,126.15,259.85,210.78,229.03,101.5,168.14
PDK4,11.68,1.91,0.1,2.34,0.31,0.55,6.79
SLC22A16,0.03,0,0.03,0,0.02,0,0
ZMYND10,1.61,0.42,0.21,0.28,0.76,2.15,2.44
ABCB5,0.01,0,0,0,0.02,0,0.02
ARX,0.02,0.13,0,0.03,0.34,0.01,0.15
SLC25A13,25.78,34.9,34,30.76,19.53,14.8,26.9
ST7,13.17,17.36,13.26,17.19,12.44,14.24,19.37
CDC27,49.76,73.67,30.73,17.19,31.63,53.15,54.58
SLC4A1,0,0,0,0,0.03,0.01,0
CALCR,0.02,0,0,0,5.66,0,0.03
HCCS,63.52,57.81,27.87,19.09,30.97,52.54,42.59
DVL2,36.73,17.93,19.29,15.52,24.81,11.32,18.23
PRSS22,0.12,0.12,0.06,30.2,22.97,6.67,102.37
UPF1,47.33,14.86,35.21,26.57,33.96,20.08,39.03
SKAP2,14.93,17.19,6.61,20.76,9.5,10.95,30.83
SLC25A5,657.59,629.39,392.86,688.74,704.07,550.64,701.21
MCUB,8.72,9.1,0.58,1.06,6.56,6.58,8.9
HOXA11,0.9,0.68,0.03,31.37,0.18,10.63,0.87
